year,company,model,fuel,km,price(L)
2003,Maruti Suzuki,Gypsy,Petrol,98000,3.25
2003,Maruti Suzuki,Versa,Petrol,44000,1.6
2003,Maruti Suzuki,Zen,Petrol,86000,3.1
2003,Maruti Suzuki,Zen,Petrol,120000,0.75
2003,Maruti Suzuki,Zen,Diesel,150000,1
2003,Maruti Suzuki,Zen,Petrol,70000,1.5
2003,Maruti Suzuki,Zen,Petrol,170000,0.65
2003,Maruti Suzuki,Zen,Petrol,64600,0.8
2003,Maruti Suzuki,Zen,Petrol,100000,0.75
2003,Maruti Suzuki,Zen,Petrol,130000,1.5
2003,Maruti Suzuki,Zen,Petrol,86776,1.81
2003,Maruti Suzuki,Zen,Petrol,100000,1.8
2003,Maruti Suzuki,Zen,Petrol,106000,0.9
2003,Maruti Suzuki,Zen,Petrol,100008,0.85
2003,Maruti Suzuki,Zen,Petrol,200000,1
2003,Maruti Suzuki,Zen,Petrol,60000,0.45
2003,Maruti Suzuki,Zen,Petrol,100000,0.55
2003,Maruti Suzuki,Zen,Petrol,200000,0.5
2003,Maruti Suzuki,Zen,Petrol,100000,0.7
2003,Maruti Suzuki,Zen,Petrol,105000,1.5
2003,Maruti Suzuki,Zen,Petrol,100000,1
2003,Maruti Suzuki,Zen,Petrol,115000,1.9
2003,Maruti Suzuki,Zen,Petrol,90101,1.5
2003,Maruti Suzuki,Zen,Petrol,700000,1
2003,Maruti Suzuki,Zen,Petrol,100000,1
2003,Maruti Suzuki,Zen,Petrol,54235,0.95
2003,Maruti Suzuki,Zen,Petrol,149000,0.5
2003,Mitsubishi,Lancer,Diesel,127000,1.5
2003,Mitsubishi,Lancer,Diesel,130000,1.2
2003,Skoda,Octavia,Diesel,130000,1.8
2003,Toyota,Camry,Petrol,300,1
2003,Toyota,Camry,Petrol,149000,3
2003,Toyota,Celica,Petrol,200000,3
2003,Toyota,Corolla,Petrol,80000,2.25
2003,Toyota,Corolla,Petrol,183000,3
2003,Toyota,Corolla,Petrol,44250,3.1
2003,Toyota,Corolla,Petrol,100000,3
2003,Toyota,Corolla,Petrol,98000,2.9
2003,Toyota,Corolla,Petrol,190000,2
2003,Toyota,Corolla,Petrol,100000,2.44
2003,Toyota,Corolla,Petrol,100000,2.1
2003,Toyota,Corolla,Petrol,258986,0.4
2003,Toyota,MR2,Petrol,1500,14
2003,Toyota,Qualis,Diesel,320000,2.8
2003,Toyota,Qualis,Diesel,100000,1.7
2003,Toyota,Qualis,Diesel,260000,4.9
2003,Toyota,Qualis,Diesel,174000,3.79
2003,Toyota,Qualis,Diesel,210000,3.5
2004,Audi,S8,Diesel,260,15
2004,Chevrolet,Forester,Petrol,52000,4
2004,Chevrolet,Optra,Petrol,63000,1.35
2004,Chevrolet,Optra,Petrol,29000,2.6
2004,Chevrolet,Optra,Petrol,48000,2
2004,Chevrolet,Optra,Petrol,80000,1.8
2004,Fiat,Palio,Petrol,78676,0.9
2004,Fiat,Petra,Diesel,98000,1.45
2004,Ford,Ikon,Petrol,40000,2
2004,Ford,Ikon,Petrol,35000,1
2004,Ford,Ikon,Petrol,655887,2.22
2004,Ford,Ikon,Petrol,85000,0.85
2004,Ford,Ikon,Diesel,107000,1.08
2004,Honda,Accord,Petrol,120000,2.92
2004,Honda,Accord,Petrol,98000,2
2004,Honda,Accord,Petrol,730091,2
2004,Honda,Accord,Petrol,175000,3.75
2004,Honda,Accord,Petrol,103000,1.8
2004,Honda,Accord,Petrol,743,5
2004,Honda,Accord,Petrol,100000,3
2004,Honda,CR-X,Petrol,120,1
2004,Honda,Step,Petrol,150000,1
2004,Hyundai,Getz,Petrol,89000,0.64
2004,Hyundai,Getz,Petrol,95000,2
2004,Hyundai,Sonata,Petrol,53000,3.6
2004,Mahindra,Marshal,Diesel,3000,3.51
2004,Mahindra,Marshal,Diesel,100,20
2004,Maruti Suzuki,1000,Petrol,450000,4
2004,Maruti Suzuki,1000,Petrol,65000,1
2004,Maruti Suzuki,1000,Petrol,100000,1
2004,Maruti Suzuki,1000,Petrol,80000,0.9
2004,Maruti Suzuki,800,Petrol,85000,0.8
2004,Maruti Suzuki,800,Petrol,6000,0.5
2004,Maruti Suzuki,800,Petrol,23437,0.45
2004,Maruti Suzuki,800,Petrol,23000,2
2004,Maruti Suzuki,800,Petrol,3390,3.04
2004,Maruti Suzuki,800,Petrol,51800,1.25
2004,Maruti Suzuki,800,Petrol,150000,1.25
2004,Maruti Suzuki,800,Petrol,85000,0.8
2004,Maruti Suzuki,800,Petrol,24523,0.45
2004,Maruti Suzuki,800,Petrol,38401,0.45
2004,Maruti Suzuki,800,Petrol,74000,1
2004,Maruti Suzuki,800,Petrol,19000,0.9
2004,Maruti Suzuki,800,Petrol,84000,0.4
2004,Maruti Suzuki,800,Petrol,90000,0.7
2004,Maruti Suzuki,800,Petrol,65000,0.7
2004,Maruti Suzuki,800,Petrol,50000,1.14
2004,Maruti Suzuki,800,Petrol,53294,0.75
2004,Maruti Suzuki,800,Petrol,68000,0.38
2004,Maruti Suzuki,800,Petrol,40000,0.5
2004,Maruti Suzuki,800,Petrol,34000,0.85
2004,Maruti Suzuki,Baleno,Petrol,150000,1
2004,Maruti Suzuki,Baleno,Petrol,487800,1.7
2004,Maruti Suzuki,Baleno,Petrol,140000,0.6
2004,Maruti Suzuki,Baleno,Petrol,400,7.01
2004,Maruti Suzuki,Baleno,Petrol,150000,0.65
